street_address,city,state,zipCode,latitude,longitude,beds,rent_price/month,listed_date,property_link
"2500 Spring Ave. SW - 2500 Spring Ave SW, Decatur, AL",Decatur,AL,35601,34.565365,-86.998924,1/2/3,"$799+/$949+/$1,149+",,https://www.zillow.com/b/2500-spring-ave.-sw-decatur-al-5XrdCt/
"61Ninety West - 6190 Girby Rd, Mobile, AL",Mobile,AL,36693,30.61876,-88.18426,1/2/3,"$1,300+/$1,250+/$1,525+",Updated yesterday,https://www.zillow.com/b/61ninety-west-mobile-al-5Xjtcv/
"150 Summit - 150 Summit Pl, Birmingham, AL",Birmingham,AL,35243,33.45054,-86.73344,1/2/3,"$1,040+/$1,417+/$1,547+",,https://www.zillow.com/b/150-summit-birmingham-al-5XjTgG/
"Madison Landing at Research Park and the Cottages - 2002 Flagstone Dr, Madison, AL",Madison,AL,35758,34.692963,-86.72378,1/2/3,"$1,104+/$1,149+/$1,279+",,https://www.zillow.com/b/madison-landing-at-research-park-and-the-cottages-madison-al-5Xn48F/
"Apartment for rent - Madison Landing at Research Park and the Cottages, 2002 Flagstone Dr #1907, Madison, AL 35758",Madison,AL,35758,34.69302,-86.721146,2,$1344.0,2 hours ago,https://www.zillow.com/b/madison-landing-at-research-park-and-the-cottages-madison-al-5Xn48F/
"The Trails at Cahaba River - 801 Cahaba Forest Cv, Birmingham, AL",Birmingham,AL,35242,33.431747,-86.70558,1/2/3,"$1,014+/$1,135+/$1,317+",3D Tour,https://www.zillow.com/b/the-trails-at-cahaba-river-birmingham-al-5XjKXH/
"Carrington Park - 2000 Central Pkwy, Montgomery, AL",Montgomery,AL,36106,32.35362,-86.224144,1/2/3,"$1,043+/$1,370+/$1,393+",,https://www.zillow.com/b/carrington-park-montgomery-al-5Xjq3k/
"Cortland Vesta - 2173 Highland Ave S, Birmingham, AL",Birmingham,AL,35205,33.49981,-86.79105,1/2,"$1,690+/$2,261+",Updated yesterday,https://www.zillow.com/b/cortland-vesta-birmingham-al-9QZHTV/
"Main Street Apartments - 1450 Paramount Dr, Huntsville, AL",Huntsville,AL,35806,34.752605,-86.69905,1/2/3,"$1,075+/$1,192+/$1,670+",,https://www.zillow.com/b/main-street-apartments-huntsville-al-5Xq44x/
"The Paddock Club at Providence - 685 Providence Main St NW, Huntsville, AL",Huntsville,AL,35806,34.75635,-86.691,2/3,"$1,233+/$1,518+",3D Tour,https://www.zillow.com/b/the-paddock-club-at-providence-huntsville-al-5XkfwH/
"The Heights - 605 Maxwell Blvd, Montgomery, AL",Montgomery,AL,36104,32.37723,-86.31872,1/2,"$1,408+/$1,689+",,https://www.zillow.com/b/the-heights-montgomery-al-65dMmT/
"Villas at Kelly Springs - 710 Nick Fitcheard Rd NW, Huntsville, AL",Huntsville,AL,35806,34.791325,-86.67014,2,"$1,500+",,https://www.zillow.com/b/villas-at-kelly-springs-huntsville-al-BrNHCx/
"Azalea Hill - 5801 E Shirley Ln, Montgomery, AL",Montgomery,AL,36117,32.36864,-86.203926,1/2,$739+/$954+,,https://www.zillow.com/b/azalea-hill-montgomery-al-5Xjq4q/
"Colonial Grand at Madison - 2300 Colonial Lake Dr, Madison, AL",Madison,AL,35758,34.688156,-86.73269,1/2/3,"$1,210+/$1,208+/$1,543+",3D Tour,https://www.zillow.com/b/colonial-grand-at-madison-madison-al-5XkdxW/
"Ariza Oakwood - 5771 Oakwood Rd NW, Huntsville, AL",Huntsville,AL,35806,34.756554,-86.67644,1/2,"$1,225+/$1,475+",,https://www.zillow.com/b/ariza-oakwood-huntsville-al-C6Cywg/
"Amesbury - 4084 Amesbury Dr, Montgomery, AL",Montgomery,AL,36116,32.319324,-86.237495,1/2,$450+/$515+,,https://www.zillow.com/b/amesbury-montgomery-al-5Xjq49/
