street_address,city,state,zipCode,latitude,longitude,beds,sale_price,listed_date,property_link
"Landing 2-403 Plan, The San Francisco Shipyard : Landing",San Francisco,CA,94124,37.7273,-122.3706,2,$749000.0,Open: Mon-Sun: By Appoi...,https://www.zillow.com/community/san-francisco-shipyard-landing/2064283195_zpid/
1288 Howard St #115,San Francisco,CA,94103,,,1,$585000.0,39 days on Zillow,https://www.zillow.com/homedetails/1288-Howard-St-115-San-Francisco-CA-94103/2060136552_zpid/
"Landing 2-305 Plan, The San Francisco Shipyard : Landing",San Francisco,CA,94124,37.7273,-122.3706,2,$719200.0,Open: Mon-Sun: By Appoi...,https://www.zillow.com/community/san-francisco-shipyard-landing/2064283192_zpid/
1177 California St APT 523,San Francisco,CA,94108,37.791027,-122.41365,1,$830000.0,36 days on Zillow,https://www.zillow.com/homedetails/1177-California-St-APT-523-San-Francisco-CA-94108/15068560_zpid/
"Monarch 4-311 Plan, The San Francisco Shipyard : Monarch",San Francisco,CA,94124,37.7271,-122.3678,2,$829000.0,Open: Mon-Sun: By Appoi...,https://www.zillow.com/community/san-francisco-shipyard-monarch/2059848712_zpid/
"Landing 2-204 Plan, The San Francisco Shipyard : Landing",San Francisco,CA,94124,37.7273,-122.3706,2,$699000.0,Open: Mon-Sun: By Appoi...,https://www.zillow.com/community/san-francisco-shipyard-landing/2064283178_zpid/
"Monarch 3-302 Plan, The San Francisco Shipyard : Monarch",San Francisco,CA,94124,37.7271,-122.3678,2,$849000.0,Open: Mon-Sun: By Appoi...,https://www.zillow.com/community/san-francisco-shipyard-monarch/2059848720_zpid/
"Landing 1-211 Plan, The San Francisco Shipyard : Landing",San Francisco,CA,94124,37.7273,-122.3706,1,$599000.0,Open: Mon-Sun: By Appoi...,https://www.zillow.com/community/san-francisco-shipyard-landing/2064283183_zpid/
"Monarch 4-312 Plan, The San Francisco Shipyard : Monarch",San Francisco,CA,94124,37.7271,-122.3678,2,$799000.0,Open: Mon-Sun: By Appoi...,https://www.zillow.com/community/san-francisco-shipyard-monarch/2059848718_zpid/
2177 3rd St #224,San Francisco,CA,94107,37.762268,-122.3883,1,$799000.0,211 days on Zillow,https://www.zillow.com/homedetails/2177-3rd-St-224-San-Francisco-CA-94107/335654392_zpid/
"Monarch 4-408 Plan, The San Francisco Shipyard : Monarch",San Francisco,CA,94124,37.7271,-122.3678,2,$859000.0,Open: Mon-Sun: By Appoi...,https://www.zillow.com/community/san-francisco-shipyard-monarch/2059848716_zpid/
51 Innes Ct UNIT 312,San Francisco,CA,94124,37.727055,-122.36772,2,$829000.0,Open: Mon-Sun: By Appoi...,https://www.zillow.com/homedetails/51-Innes-Ct-UNIT-312-San-Francisco-CA-94124/303807131_zpid/
10 Innes Ct #208,San Francisco,CA,94124,37.72792,-122.36791,1,$675000.0,100 days on Zillow,https://www.zillow.com/homedetails/10-Innes-Ct-208-San-Francisco-CA-94124/303807054_zpid/
