street_address,city,state,zipCode,latitude,longitude,beds,sale_price,listed_date,property_link
100 Pontchartrain Dr,Carencro,LA,70520,30.351448,-92.037766,3.0,$319000.0,1 day on Zillow,https://www.zillow.com/homedetails/100-Pontchartrain-Dr-Carencro-LA-70520/126838150_zpid/
150 Acacia Dr,Lafayette,LA,70508,30.191862,-92.02904,4.0,$595000.0,"$25,000 (Feb 10)",https://www.zillow.com/homedetails/150-Acacia-Dr-Lafayette-LA-70508/77669522_zpid/
21184 Lee Ln,Ponchatoula,LA,70454,30.470078,-90.37444,5.0,$224900.0,76 days on Zillow,https://www.zillow.com/homedetails/21184-Lee-Ln-Ponchatoula-LA-70454/77737651_zpid/
509 Lauve Ln,Luling,LA,70070,29.931799,-90.37185,4.0,$245000.0,5 days on Zillow,https://www.zillow.com/homedetails/509-Lauve-Ln-Luling-LA-70070/94756353_zpid/
1749 Arledge Rd,Vinton,LA,70668,30.201956,-93.6626,3.0,$230000.0,"$7,000 (Feb 21)",https://www.zillow.com/homedetails/1749-Arledge-Rd-Vinton-LA-70668/299111120_zpid/
30743 Provision Ln,Denham Springs,LA,70726,30.50933,-90.93159,4.0,$225000.0,"$15,000 (Feb 19)",https://www.zillow.com/homedetails/30743-Provision-Ln-Denham-Springs-LA-70726/110886580_zpid/
519 Huckleberry Trce,Ball,LA,71405,31.422688,-92.41892,4.0,$164900.0,50 days on Zillow,https://www.zillow.com/homedetails/519-Huckleberry-Trce-Ball-LA-71405/2067700538_zpid/
400-402 Olivier St,New Orleans,LA,70114,29.953823,-90.050026,4.0,$349000.0,4 days on Zillow,https://www.zillow.com/homedetails/400-402-Olivier-St-New-Orleans-LA-70114/2059126143_zpid/
25218 Lowe Davis Rd,Covington,LA,70435,30.523607,-89.98393,3.0,$270000.0,"$10,000 (Feb 13)",https://www.zillow.com/homedetails/25218-Lowe-Davis-Rd-Covington-LA-70435/96171284_zpid/
2932 Byron St,Baton Rouge,LA,70805,30.49333,-91.16098,2.0,$37900.0,"$10,100 (Feb 21)",https://www.zillow.com/homedetails/2932-Byron-St-Baton-Rouge-LA-70805/2060123296_zpid/
5701 Lakefront Dr,Shreveport,LA,71119,32.49066,-93.836945,2.0,$350000.0,11 days on Zillow,https://www.zillow.com/homedetails/5701-Lakefront-Dr-Shreveport-LA-71119/51354768_zpid/
1079 Zoes Ct,Lake Charles,LA,70605,,,4.0,$139900.0,14 days on Zillow,https://www.zillow.com/homedetails/1079-Zoes-Ct-Lake-Charles-LA-70605/2059441422_zpid/
6804 Cummins St,Metairie,LA,70003,29.98674,-90.211044,3.0,$205000.0,"$5,000 (Feb 15)",https://www.zillow.com/homedetails/6804-Cummins-St-Metairie-LA-70003/73724997_zpid/
3848 Walker Ferry Rd,Pollock,LA,71467,31.47578,-92.281876,3.0,$279000.0,71 days on Zillow,https://www.zillow.com/homedetails/3848-Walker-Ferry-Rd-Pollock-LA-71467/115132772_zpid/
724 Peridot Ln,Lake charles,LA,70611,30.343767,-93.21293,3.0,$189900.0,52 days on Zillow,https://www.zillow.com/homedetails/724-Peridot-Ln-Lake-Charles-LA-70611/242865503_zpid/
303 Knapp St,Leesville,LA,71446,31.154676,-93.25928,3.0,$144000.0,155 days on Zillow,https://www.zillow.com/homedetails/303-Knapp-St-Leesville-LA-71446/77775823_zpid/
601 Beaufort St,Welsh,LA,70591,30.239376,-92.81263,5.0,$180000.0,33 days on Zillow,https://www.zillow.com/homedetails/601-Beaufort-St-Welsh-LA-70591/229960819_zpid/
36197 Greenleaf Ct,Prairieville,LA,70769,30.319801,-91.0022,4.0,$439900.0,"$10,100 (Feb 16)",https://www.zillow.com/homedetails/36197-Greenleaf-Ct-Prairieville-LA-70769/53468983_zpid/
410 N 16th St,Monroe,LA,71201,32.513718,-92.1064,4.0,$135000.0,5 days on Zillow,https://www.zillow.com/homedetails/410-N-16th-St-Monroe-LA-71201/101618163_zpid/
106 Briar Trce,Monroe,LA,71203,32.549652,-92.01757,3.0,$237350.0,2 days on Zillow,https://www.zillow.com/homedetails/106-Briar-Trce-Monroe-LA-71203/247233995_zpid/
