street_address,city,state,zipCode,latitude,longitude,beds,sale_price,listed_date,property_link
71 Short Ln,Evergreen,AL,36401,31.456005,-86.92302,2,$79900.0,20 hours ago,https://www.zillow.com/homedetails/71-Short-Ln-Evergreen-AL-36401/235666684_zpid/
"1,453 Square Feet Plan, Ingersoll Drive-Starter Houses",Phenix City,AL,36867,32.47055,-85.02248,3,$199900.0,13 hours ago,https://www.zillow.com/community/ingersoll-drive-starter-houses/2059096733_zpid/
463 Thompson Ave,Rainsville,AL,35986,34.482464,-85.83573,3,$339900.0,22 hours ago,https://www.zillow.com/homedetails/463-Thompson-Ave-Rainsville-AL-35986/111753006_zpid/
17053 Russet Ct,Foley,AL,36535,30.405743,-87.73367,4,$299900.0,"$15,100 (Jan 23)",https://www.zillow.com/homedetails/17053-Russet-Ct-Foley-AL-36535/120129293_zpid/
19565 Oak Cir,Seminole,AL,36574,30.510048,-87.44989,3,$275000.0,"$25,000 (Feb 16)",https://www.zillow.com/homedetails/19565-Oak-Cir-Seminole-AL-36574/72757263_zpid/
1116 Dixie Ave,Florence,AL,35630,34.81545,-87.68743,3,$169900.0,13 hours ago,https://www.zillow.com/homedetails/1116-Dixie-Ave-Florence-AL-35630/67126041_zpid/
15451 Broad Branch Rd,Chunchula,AL,36521,31.013512,-88.10724,5,$224900.0,3 days on Zillow,https://www.zillow.com/homedetails/15451-Broad-Branch-Rd-Chunchula-AL-36521/50950585_zpid/
9136 Brenham Ct,Montgomery,AL,36117,32.330296,-86.131996,4,$399900.0,13 hours ago,https://www.zillow.com/homedetails/9136-Brenham-Ct-Montgomery-AL-36117/118930117_zpid/
622 Hoadley Dr W,Birmingham,AL,35213,,,3,$339000.0,19 hours ago,https://www.zillow.com/homedetails/622-Hoadley-Dr-W-Birmingham-AL-35213/2062746423_zpid/
7365 School House Ln,Wilmer,AL,36587,30.844912,-88.349045,4,$215000.0,17 hours ago,https://www.zillow.com/homedetails/7365-School-House-Ln-Wilmer-AL-36587/80133102_zpid/
20451 County Road 13,Fairhope,AL,36532,30.523045,-87.86988,3,$375000.0,80 days on Zillow,https://www.zillow.com/homedetails/20451-County-Road-13-Fairhope-AL-36532/72745262_zpid/
14 Creek Dr,Montgomery,AL,36117,32.385895,-86.143135,4,$352000.0,19 hours ago,https://www.zillow.com/homedetails/14-Creek-Dr-Montgomery-AL-36117/72815892_zpid/
1662 English Knoll Ln,Birmingham,AL,35235,33.62966,-86.656166,4,$275000.0,20 hours ago,https://www.zillow.com/homedetails/1662-English-Knoll-Ln-Birmingham-AL-35235/2059103565_zpid/
1054 Matterhorn St,Mobile,AL,36608,30.711916,-88.178215,4,$249000.0,18 hours ago,https://www.zillow.com/homedetails/1054-Matterhorn-St-Mobile-AL-36608/50984976_zpid/
28314 Turkey Branch Dr,Daphne,AL,36526,30.638449,-87.83209,3,$285000.0,4 hours ago,https://www.zillow.com/homedetails/28314-Turkey-Branch-Dr-Daphne-AL-36526/124036654_zpid/
6094 Glenwood Way,Wilmer,AL,36587,30.817795,-88.30003,4,$40000.0,"$5,000 (Feb 15)",https://www.zillow.com/homedetails/6094-Glenwood-Way-Wilmer-AL-36587/88902568_zpid/
220 Brookstone Dr,Enterprise,AL,36330,31.283413,-85.85612,4,$377000.0,15 hours ago,https://www.zillow.com/homedetails/220-Brookstone-Dr-Enterprise-AL-36330/2059098737_zpid/
818 Dayton Dr,Scottsboro,AL,35768,34.662724,-86.02305,3,$436000.0,21 hours ago,https://www.zillow.com/homedetails/818-Dayton-Dr-Scottsboro-AL-35768/120130329_zpid/
563 Timber Ln NE,Arab,AL,35016,34.324013,-86.49073,3,$229900.0,19 hours ago,https://www.zillow.com/homedetails/563-Timber-Ln-NE-Arab-AL-35016/141968_zpid/
132 Sugar Dr,Pelham,AL,35124,33.32448,-86.81571,3,$183500.0,18 hours ago,https://www.zillow.com/homedetails/132-Sugar-Dr-Pelham-AL-35124/195857_zpid/
725 Mimosa Dr,Anniston,AL,36206,33.71234,-85.82194,3,$59900.0,13 hours ago,https://www.zillow.com/homedetails/725-Mimosa-Dr-Anniston-AL-36206/109448886_zpid/
2902 Riverside Dr,Mobile,AL,36605,30.604206,-88.10582,3,$235000.0,"$20,000 (Jan 15)",https://www.zillow.com/homedetails/2902-Riverside-Dr-Mobile-AL-36605/51032804_zpid/
3306 N Noble St,Anniston,AL,36201,33.68838,-85.83015,3,$69000.0,17 hours ago,https://www.zillow.com/homedetails/3306-N-Noble-St-Anniston-AL-36201/2059099887_zpid/
