street_address,city,state,zipCode,latitude,longitude,beds,sold_price,sold_date,property_link
1050 N Point St APT 406,San Francisco,CA,94109,37.805428,-122.42481,1,$580000.0,Sold 11/23/2022,https://www.zillow.com/homedetails/1050-N-Point-St-APT-406-San-Francisco-CA-94109/63196465_zpid/
420 Noe St #1A,San Francisco,CA,94114,,,2,$830000.0,Sold 11/23/2022,https://www.zillow.com/homedetails/420-Noe-St-1A-San-Francisco-CA-94114/2061301611_zpid/
1932 Fell St APT 9,San Francisco,CA,94117,37.772793,-122.44985,2,$780000.0,Sold 11/23/2022,https://www.zillow.com/homedetails/1932-Fell-St-APT-9-San-Francisco-CA-94117/2087325129_zpid/
2250 24th St UNIT 324,San Francisco,CA,94107,37.753872,-122.40201,2,$690000.0,Sold 11/22/2022,https://www.zillow.com/homedetails/2250-24th-St-UNIT-324-San-Francisco-CA-94107/15152078_zpid/
1521 Sutter St APT 303,San Francisco,CA,94109,37.78673,-122.42592,1,$377588.0,Sold 11/22/2022,https://www.zillow.com/homedetails/1521-Sutter-St-APT-303-San-Francisco-CA-94109/96018939_zpid/
300 Ivy St APT 302,San Francisco,CA,94102,37.777493,-122.42356,2,$478782.0,Sold 11/22/2022,https://www.zillow.com/homedetails/300-Ivy-St-APT-302-San-Francisco-CA-94102/123174801_zpid/
407 Miguel St,San Francisco,CA,94131,37.73668,-122.42682,1,$537500.0,Sold 11/22/2022,https://www.zillow.com/homedetails/407-Miguel-St-San-Francisco-CA-94131/184818136_zpid/
3638-3640 Cabrillo St,San Francisco,CA,94121,37.773975,-122.498024,2,$525000.0,Sold 11/22/2022,https://www.zillow.com/homedetails/3638-3640-Cabrillo-St-San-Francisco-CA-94121/331619823_zpid/
1622-003B Quesada Ave,San Francisco,CA,94124,,,3,$850000.0,Sold 11/22/2022,https://www.zillow.com/homedetails/1622-003B-Quesada-Ave-San-Francisco-CA-94124/2066773130_zpid/
1754 Larkin St APT 2,San Francisco,CA,94109,37.7942,-122.41946,1,$700000.0,Sold 11/22/2022,https://www.zillow.com/homedetails/1754-Larkin-St-APT-2-San-Francisco-CA-94109/2107993430_zpid/
1840 Washington St APT 303,San Francisco,CA,94109,37.793213,-122.423744,1,$736500.0,Sold 11/21/2022,https://www.zillow.com/homedetails/1840-Washington-St-APT-303-San-Francisco-CA-94109/117673805_zpid/
307 Page St APT 6,San Francisco,CA,94102,37.773502,-122.42594,1,$680000.0,Sold 11/21/2022,https://www.zillow.com/homedetails/307-Page-St-APT-6-San-Francisco-CA-94102/119685421_zpid/
839 Garfield St,San Francisco,CA,94132,37.719444,-122.47051,1,$425000.0,Sold 11/18/2022,https://www.zillow.com/homedetails/839-Garfield-St-San-Francisco-CA-94132/15190052_zpid/
65 Niagara Ave,San Francisco,CA,94112,37.7165,-122.44319,2,$750000.0,Sold 11/18/2022,https://www.zillow.com/homedetails/65-Niagara-Ave-San-Francisco-CA-94112/15191333_zpid/
85 Ora Way UNIT 307E,San Francisco,CA,94131,37.740665,-122.43727,1,$599000.0,Sold 11/18/2022,https://www.zillow.com/homedetails/85-Ora-Way-UNIT-307E-San-Francisco-CA-94131/15199897_zpid/
1335 Laguna St APT 2,San Francisco,CA,94115,37.783405,-122.42844,1,$460000.0,Sold 11/18/2022,https://www.zillow.com/homedetails/1335-Laguna-St-APT-2-San-Francisco-CA-94115/64972207_zpid/
85 Ora Way UNIT E307,San Francisco,CA,94131,37.740665,-122.43727,1,$599000.0,Sold 11/18/2022,https://www.zillow.com/homedetails/85-Ora-Way-UNIT-E307-San-Francisco-CA-94131/2060989050_zpid/
678 Morse St,San Francisco,CA,94112,37.711327,-122.44585,2,$715000.0,Sold 11/17/2022,https://www.zillow.com/homedetails/678-Morse-St-San-Francisco-CA-94112/15178851_zpid/
1587 Dolores St,San Francisco,CA,94110,37.74412,-122.424034,1,$760000.0,Sold 11/17/2022,https://www.zillow.com/homedetails/1587-Dolores-St-San-Francisco-CA-94110/111931471_zpid/
832 Sutter St #502,San Francisco,CA,94109,37.7888,-122.4142,1,$549000.0,Sold 11/17/2022,https://www.zillow.com/homedetails/832-Sutter-St-502-San-Francisco-CA-94109/2077736490_zpid/
1250 Sacramento St APT 6,San Francisco,CA,94108,37.792675,-122.41354,1,$835000.0,Sold 11/17/2022,https://www.zillow.com/homedetails/1250-Sacramento-St-APT-6-San-Francisco-CA-94108/2085812283_zpid/
1622 Quesada Ave,San Francisco,CA,94124,37.732758,-122.3899,3,$850000.0,Sold 11/16/2022,https://www.zillow.com/homedetails/1622-Quesada-Ave-San-Francisco-CA-94124/15156547_zpid/
4 Wright St,San Francisco,CA,94110,37.747543,-122.40527,4,$820000.0,Sold 11/16/2022,https://www.zillow.com/homedetails/4-Wright-St-San-Francisco-CA-94110/15160389_zpid/
192 Shawnee Ave,San Francisco,CA,94112,37.718987,-122.44756,4,$825000.0,Sold 11/16/2022,https://www.zillow.com/homedetails/192-Shawnee-Ave-San-Francisco-CA-94112/15191047_zpid/
16 Jessie St APT 110,San Francisco,CA,94105,37.789906,-122.39894,1,$820888.0,Sold 11/16/2022,https://www.zillow.com/homedetails/16-Jessie-St-APT-110-San-Francisco-CA-94105/111710857_zpid/
