street_address,city,state,zipCode,latitude,longitude,beds,sold_price,sold_date,property_link
429 Pardee Rd,Campti,LA,71411,31.93195,-93.02877,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/429-Pardee-Rd-Campti-LA-71411/229923217_zpid/
600 Goos St,Westlake,LA,70669,30.240042,-93.252365,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/600-Goos-St-Westlake-LA-70669/243016281_zpid/
9942 Cook Rd,Bethany,LA,71007,32.369976,-94.00047,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/9942-Cook-Rd-Bethany-LA-71007/245744403_zpid/
631 Riverscape Dr,Shreveport,LA,71104,32.496883,-93.71779,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/631-Riverscape-Dr-Shreveport-LA-71104/248587522_zpid/
303 Vineyard Row,Lafayette,LA,70508,30.143822,-92.0455,4.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/303-Vineyard-Row-Lafayette-LA-70508/249654072_zpid/
16460 Plank Rd,Baker,LA,70714,30.598307,-91.11848,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/16460-Plank-Rd-Baker-LA-70714/251066369_zpid/
1151 Brockner St,Olla,LA,71465,31.902105,-92.23823,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/1151-Brockner-St-Olla-LA-71465/251336518_zpid/
37359 Cypress Hollow Ave,Prairieville,LA,70769,30.2738,-90.97858,4.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/37359-Cypress-Hollow-Ave-Prairieville-LA-70769/309327158_zpid/
920 Antler,Haughton,LA,71037,32.566414,-93.61538,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/920-Antler-Haughton-LA-71037/317176382_zpid/
112 Orchard Park Ave,Lafayette,LA,70508,30.162565,-92.01619,4.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/112-Orchard-Park-Ave-Lafayette-LA-70508/317205994_zpid/
182 Independence Dr LOT 19,Houma,LA,70360,,,,,Sold 02/17/2023,https://www.zillow.com/homedetails/182-Independence-Dr-LOT-19-Houma-LA-70360/2059127176_zpid/
38198 State Highway 621,Gonzales,LA,70737,,,3.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/38198-State-Highway-621-Gonzales-LA-70737/2059431557_zpid/
3709 Jared Michael Dr,Shreveport,LA,71107,,,4.0,,Sold 02/17/2023,https://www.zillow.com/homedetails/3709-Jared-Michael-Dr-Shreveport-LA-71107/2059548115_zpid/
Tabb Rd,Scott,LA,70583,,,,,Sold 02/17/2023,https://www.zillow.com/homedetails/Tabb-Rd-Scott-LA-70583/2059926076_zpid/
13212 Alysha Dr LOT 60,Denham Springs,LA,70726,,,,,Sold 02/17/2023,https://www.zillow.com/homedetails/13212-Alysha-Dr-LOT-60-Denham-Springs-LA-70726/2059970832_zpid/
30981 Honeysuckel St LOT 713,Denham Springs,LA,70726,,,,,Sold 02/17/2023,https://www.zillow.com/homedetails/30981-Honeysuckel-St-LOT-713-Denham-Springs-LA-70726/2059971095_zpid/
30985 Honeysuckel St LOT 712,Denham Springs,LA,70726,,,,,Sold 02/17/2023,https://www.zillow.com/homedetails/30985-Honeysuckel-St-LOT-712-Denham-Springs-LA-70726/2059971302_zpid/
13325 Alysha Dr LOT 66,Denham Springs,LA,70726,,,,,Sold 02/17/2023,https://www.zillow.com/homedetails/13325-Alysha-Dr-LOT-66-Denham-Springs-LA-70726/2059971380_zpid/
