street_address,city,state,zipCode,latitude,longitude,beds,rent_price/month,listed_date,property_link
"Apartment for rent - 821 Folsom St APT 417, San Francisco, CA 94107",San Francisco,CA,94107,37.781384,-122.40136,1,$2800.0,8 days ago,https://www.zillow.com/homedetails/821-Folsom-St-APT-417-San-Francisco-CA-94107/80738770_zpid/
"Apartment for rent - 1800A 17th Ave, San Francisco, CA 94122",San Francisco,CA,94122,37.76276,-122.47494,1,$2495.0,14 hours ago,https://www.zillow.com/homedetails/1800A-17th-Ave-San-Francisco-CA-94122/2075348823_zpid/
"Apartment for rent - 1538 Filbert Street, 1538 Filbert St APT 5, San Francisco, CA 94123",San Francisco,CA,94123,37.799664,-122.425,1,$2995.0,12 hours ago,https://www.zillow.com/b/1538-filbert-street-san-francisco-ca-9NLWt8/
"Apartment for rent - 1800A 17th Avenue, 1800 17th Ave #1800A, San Francisco, CA 94122",San Francisco,CA,94122,37.754185,-122.47399,1,$2495.0,3D Tour,https://www.zillow.com/b/1800a-17th-avenue-san-francisco-ca-5XtWyP/
"Apartment for rent - 54 Tucker Ave, San Francisco, CA 94134",San Francisco,CA,94134,37.715797,-122.404434,1,$2300.0,22 hours ago,https://www.zillow.com/homedetails/54-Tucker-Ave-San-Francisco-CA-94134/2101658333_zpid/
"Apartment for rent - 2 bed, 806 sqft, $2,995, 367 Arguello Blvd APT 3, San Francisco, CA 94118",San Francisco,CA,94118,37.78379,-122.459435,2,$2995.0,2 hours ago,https://www.zillow.com/b/367-arguello-blvd-san-francisco-ca-9NLCpn/
"For Rent - 246 2nd St, San Francisco, CA",San Francisco,CA,94105,37.785744,-122.3974,1,"$2,800+",4 days ago,https://www.zillow.com/b/246-2nd-st-san-francisco-ca-5XnKjq/
"Apartment for rent - 330 Parnassus Avenue, 330 Parnassus Ave APT 107, San Francisco, CA 94117",San Francisco,CA,94117,37.764477,-122.45527,1,$2195.0,1 day ago,https://www.zillow.com/b/330-parnassus-avenue-san-francisco-ca-5Xjtp9/
"Apartment for rent - 1575 Sacramento St #7, San Francisco, CA 94109",San Francisco,CA,94109,37.791603,-122.41866,1,$2995.0,3D Tour,https://www.zillow.com/homedetails/1575-Sacramento-St-7-San-Francisco-CA-94109/2059103491_zpid/
"Apartment for rent - 2 bed, 680 sqft, $2,795, 204 Dore St UNIT 208, San Francisco, CA 94103",San Francisco,CA,94103,37.771767,-122.41049,2,$2795.0,4 days ago,"https://www.zillow.com/b/2-bed,-680-sqft,-%242,795-san-francisco-ca-9NJvKk/"
"For Rent - 725 Corbett Ave, San Francisco, CA",San Francisco,CA,94131,37.755196,-122.442,1,"$2,425+",10 days ago,https://www.zillow.com/b/725-corbett-ave-san-francisco-ca-5XthjF/
"956 Post Street - 956 Post St, San Francisco, CA",San Francisco,CA,94109,37.787407,-122.41763,1,"$2,195+",,https://www.zillow.com/b/956-post-street-san-francisco-ca-5YCn4X/
"For Rent - 940 Bay St, San Francisco, CA",San Francisco,CA,94109,37.804752,-122.42258,1,"$2,595+",Updated yesterday,https://www.zillow.com/b/940-bay-st-san-francisco-ca-9NKJTf/
"536 Thornton Avenue - 536 Thornton Ave, San Francisco, CA",San Francisco,CA,94124,37.731792,-122.39897,1,"$2,395+",,https://www.zillow.com/b/536-thornton-avenue-san-francisco-ca-9NLgh4/
"Apartment for rent - 2185 Ofarrell St UNIT 6, San Francisco, CA 94115",San Francisco,CA,94115,37.782074,-122.4406,1,$2795.0,1 day ago,https://www.zillow.com/homedetails/2185-Ofarrell-St-UNIT-6-San-Francisco-CA-94115/2069772512_zpid/
"Apartment for rent - 200 Carl St #4, San Francisco, CA 94117",San Francisco,CA,94117,37.765564,-122.45304,1,$2395.0,10 hours ago,https://www.zillow.com/homedetails/200-Carl-St-4-San-Francisco-CA-94117/2065746699_zpid/
"Apartment for rent - 1291 11th Ave, San Francisco, CA 94122",San Francisco,CA,94122,37.764145,-122.46875,1,$2700.0,16 hours ago,https://www.zillow.com/homedetails/1291-11th-Ave-San-Francisco-CA-94122/2071100585_zpid/
"Apartment for rent - 1475 Florida St, San Francisco, CA 94110",San Francisco,CA,94110,37.74859,-122.40944,2,$2995.0,1 day ago,https://www.zillow.com/homedetails/1475-Florida-St-San-Francisco-CA-94110/2060941740_zpid/
"Apartment for rent - 735 O'Farrell, 735 Ofarrell St APT 43, San Francisco, CA 94109",San Francisco,CA,94109,37.78502,-122.416855,1,$2545.0,8 days ago,https://www.zillow.com/b/735-o%27farrell-san-francisco-ca-5Xrsg8/
