street_address,city,state,zipCode,latitude,longitude,beds,sale_price,listed_date,property_link
406 Windsong Dr,Youngsville,LA,70592,30.117249,-92.01099,4.0,$150000.0,25 days on Zillow,https://www.zillow.com/homedetails/406-Windsong-Dr-Youngsville-LA-70592/77639716_zpid/
412 Bon Mange Cir,Lafayette,LA,70506,30.214127,-92.079735,4.0,$399000.0,"$16,000 (Feb 19)",https://www.zillow.com/homedetails/412-Bon-Mange-Cir-Lafayette-LA-70506/77684965_zpid/
455 Meadow View Ct,Thibodaux,LA,70301,29.807516,-90.74474,3.0,$360000.0,65 days on Zillow,https://www.zillow.com/homedetails/455-Meadow-View-Ct-Thibodaux-LA-70301/119476759_zpid/
512 Rowena St,Natchitoches,LA,71457,31.769585,-93.09069,5.0,$124999.0,44 days on Zillow,https://www.zillow.com/homedetails/512-Rowena-St-Natchitoches-LA-71457/106102917_zpid/
279 Gene Stanley Rd,Ragley,LA,70657,30.492918,-93.20638,4.0,$245000.0,18 days on Zillow,https://www.zillow.com/homedetails/279-Gene-Stanley-Rd-Ragley-LA-70657/106020977_zpid/
522 Park Rd,LAKE CHARLES,LA,70611,30.309906,-93.21664,4.0,$765500.0,20 days on Zillow,https://www.zillow.com/homedetails/522-Park-Rd-Lake-Charles-LA-70611/77616816_zpid/
313 Saint Pierre Blvd,Carencro,LA,70520,30.319342,-92.058784,3.0,$230000.0,84 days on Zillow,https://www.zillow.com/homedetails/313-Saint-Pierre-Blvd-Carencro-LA-70520/145627826_zpid/
6152 Grand Prairie Rd,Ville Platte,LA,70586,30.682676,-92.22763,3.0,$115000.0,62 days on Zillow,https://www.zillow.com/homedetails/6152-Grand-Prairie-Rd-Ville-Platte-LA-70586/230446119_zpid/
105 Sea Blue Ln,Gray,LA,70359,29.674543,-90.735504,3.0,$176000.0,25 days on Zillow,https://www.zillow.com/homedetails/105-Sea-Blue-Ln-Gray-LA-70359/213712507_zpid/
403 Zachary Way,Sterlington,LA,71280,32.67022,-92.036,4.0,$400000.0,11 hours ago,https://www.zillow.com/homedetails/403-Zachary-Way-Sterlington-LA-71280/2059083008_zpid/
10875 Longfellow Trce,Shreveport,LA,71106,32.3438,-93.72054,4.0,$549000.0,12 days on Zillow,https://www.zillow.com/homedetails/10875-Longfellow-Trce-Shreveport-LA-71106/51322749_zpid/
134 Church St,Lockport,LA,70374,29.644596,-90.53543,3.0,$148000.0,1 day on Zillow,https://www.zillow.com/homedetails/134-Church-St-Lockport-LA-70374/119432585_zpid/
1232 Highway 906,Monterey,LA,71354,31.482891,-91.73149,3.0,$200000.0,250 days on Zillow,https://www.zillow.com/homedetails/1232-Highway-906-Monterey-LA-71354/232938968_zpid/
6525 Audubon Blvd,Sorrento,LA,70778,30.15613,-90.88614,3.0,$235000.0,82 days on Zillow,https://www.zillow.com/homedetails/6525-Audubon-Blvd-Sorrento-LA-70778/113068125_zpid/
1151 N 2nd St,Jena,LA,71342,31.690498,-92.13027,4.0,$165000.0,9 days on Zillow,https://www.zillow.com/homedetails/1151-N-2nd-St-Jena-LA-71342/115146864_zpid/
1811 Shannon Rd,Alexandria,LA,71301,31.270002,-92.47724,3.0,$140000.0,"$3,000 (Feb 10)",https://www.zillow.com/homedetails/1811-Shannon-Rd-Alexandria-LA-71301/77698687_zpid/
15354 Joor Rd,Zachary,LA,70791,30.59364,-91.047,3.0,$170000.0,50 days on Zillow,https://www.zillow.com/homedetails/15354-Joor-Rd-Zachary-LA-70791/66363050_zpid/
800 Canaan Dr,Lafayette,LA,70508,30.156174,-92.03363,4.0,$435500.0,4 days on Zillow,https://www.zillow.com/homedetails/800-Canaan-Dr-Lafayette-LA-70508/77673328_zpid/
23723 Fletcher Isle Rd,Ponchatoula,LA,70454,30.437773,-90.33389,3.0,$330000.0,23 days on Zillow,https://www.zillow.com/homedetails/23723-Fletcher-Isle-Rd-Ponchatoula-LA-70454/2065922310_zpid/
1408 Maple St,Morgan City,LA,70380,29.709297,-91.20182,3.0,$150000.0,"$5,000 (Feb 12)",https://www.zillow.com/homedetails/1408-Maple-St-Morgan-City-LA-70380/115214920_zpid/
18014 Grand Cypress Creek Ave,Baton Rouge,LA,70810,30.338411,-91.03077,4.0,$599999.0,Video Walkthrough,https://www.zillow.com/homedetails/18014-Grand-Cypress-Creek-Ave-Baton-Rouge-LA-70810/66298578_zpid/
8401 Woodlands Trl,Greenwood,LA,71033,32.41827,-93.938194,4.0,$165000.0,33 days on Zillow,https://www.zillow.com/homedetails/8401-Woodlands-Trl-Greenwood-LA-71033/66807042_zpid/
518 Terrace Lake Dr,Covington,LA,70435,30.529089,-90.059525,3.0,$309900.0,33 days on Zillow,https://www.zillow.com/homedetails/518-Terrace-Lake-Dr-Covington-LA-70435/2065937266_zpid/
116 Pantheon Ln,Shreveport,LA,71115,32.415745,-93.68734,3.0,$245000.0,3 days on Zillow,https://www.zillow.com/homedetails/116-Pantheon-Ln-Shreveport-LA-71115/80861634_zpid/
1223 Hubbard Brake Rd,Cheneyville,LA,71325,30.992878,-92.37492,3.0,$90000.0,"$10,000 (Feb 10)",https://www.zillow.com/homedetails/1223-Hubbard-Brake-Rd-Cheneyville-LA-71325/106058256_zpid/
704 Sycamore St,Franklin,LA,70538,29.807234,-91.497604,3.0,$151000.0,10 days on Zillow,https://www.zillow.com/homedetails/704-Sycamore-St-Franklin-LA-70538/115204538_zpid/
7956 Jefferson Place Blvd APT B,Baton Rouge,LA,70809,30.386774,-91.06445,3.0,$230000.0,2 days on Zillow,https://www.zillow.com/homedetails/7956-Jefferson-Place-Blvd-APT-B-Baton-Rouge-LA-70809/2126271988_zpid/
15810 Chaumont Ave,Greenwell Springs,LA,70739,30.500092,-91.01231,3.0,$299900.0,193 days on Zillow,https://www.zillow.com/homedetails/15810-Chaumont-Ave-Greenwell-Springs-LA-70739/66355796_zpid/
502 Wyatt Rd,Marthaville,LA,71450,31.712645,-93.45942,3.0,$289000.0,427 days on Zillow,https://www.zillow.com/homedetails/502-Wyatt-Rd-Marthaville-LA-71450/249509142_zpid/
135 Lake Maclaine Ave,Thibodaux,LA,70301,29.813858,-90.83765,3.0,$285000.0,11 days on Zillow,https://www.zillow.com/homedetails/135-Lake-Maclaine-Ave-Thibodaux-LA-70301/119440642_zpid/
3014 Woodland Dr,Jennings,LA,70546,30.25339,-92.671455,4.0,$475000.0,6 days on Zillow,https://www.zillow.com/homedetails/3014-Woodland-Dr-Jennings-LA-70546/118708015_zpid/
5576 Highway 56,Chauvin,LA,70344,29.434456,-90.59657,3.0,$60000.0,112 days on Zillow,https://www.zillow.com/homedetails/5576-Highway-56-Chauvin-LA-70344/77763399_zpid/
1107 Park Blvd,Baton Rouge,LA,70806,30.438171,-91.168495,3.0,$299000.0,1 day on Zillow,https://www.zillow.com/homedetails/1107-Park-Blvd-Baton-Rouge-LA-70806/66228769_zpid/
4604 Highway 3278,Natchitoches,LA,71457,31.738531,-93.134674,4.0,$259000.0,"$6,000 (Jan 7)",https://www.zillow.com/homedetails/4604-Highway-3278-Natchitoches-LA-71457/106100627_zpid/
3845 S Jasmine Dr,Lake Charles,LA,70605,30.15061,-93.29282,4.0,$1150000.0,5 days on Zillow,https://www.zillow.com/homedetails/3845-S-Jasmine-Dr-Lake-Charles-LA-70605/337023052_zpid/
4621 Bridge Street Hwy,Saint Martinville,LA,70582,30.23942,-91.858,2.0,$160000.0,15 days on Zillow,https://www.zillow.com/homedetails/4621-Bridge-Street-Hwy-Saint-Martinville-LA-70582/106163447_zpid/
5850 Weeping Willow Dr,Lake Charles,LA,70605,30.150997,-93.29064,3.0,$549500.0,7 days on Zillow,https://www.zillow.com/homedetails/5850-Weeping-Willow-Dr-Lake-Charles-LA-70605/299107746_zpid/
4112 Emily Dr,Port Allen,LA,70767,30.489532,-91.32534,4.0,$420000.0,3 days on Zillow,https://www.zillow.com/homedetails/4112-Emily-Dr-Port-Allen-LA-70767/103936093_zpid/
2663 Rhett Dr,Lake Charles,LA,70611,30.347788,-93.223816,4.0,$325250.0,60 days on Zillow,https://www.zillow.com/homedetails/2663-Rhett-Dr-Lake-Charles-LA-70611/77599320_zpid/
6912 Spring Lake Dr,Maurice,LA,70555,30.103704,-92.09244,4.0,$254999.0,$1 (Feb 14),https://www.zillow.com/homedetails/6912-Spring-Lake-Dr-Maurice-LA-70555/2069066168_zpid/
2212 McCloud St,Westlake,LA,70669,30.259752,-93.26059,3.0,$170000.0,4 days on Zillow,https://www.zillow.com/homedetails/2212-McCloud-St-Westlake-LA-70669/242849102_zpid/
1029 N 10th St,Thibodaux,LA,70301,29.803389,-90.8243,2.0,$145000.0,54 days on Zillow,https://www.zillow.com/homedetails/1029-N-10th-St-Thibodaux-LA-70301/119437891_zpid/
113 Logan St,Lafayette,LA,70506,30.204496,-92.10544,3.0,$224900.0,6 days on Zillow,https://www.zillow.com/homedetails/113-Logan-St-Lafayette-LA-70506/77653613_zpid/
11083 Wood Meadow St,Bastrop,LA,71220,32.831547,-91.89672,4.0,$229900.0,13 days on Zillow,https://www.zillow.com/homedetails/11083-Wood-Meadow-St-Bastrop-LA-71220/233987138_zpid/
43186 Sontheimer Rd,Hammond,LA,70403,30.472586,-90.48098,4.0,$315000.0,11 days on Zillow,https://www.zillow.com/homedetails/43186-Sontheimer-Rd-Hammond-LA-70403/77741405_zpid/
512 S Lebanon St,Sulphur,LA,70663,30.22467,-93.33637,3.0,$144000.0,32 days on Zillow,https://www.zillow.com/homedetails/512-S-Lebanon-St-Sulphur-LA-70663/242811983_zpid/
208 Hialeah Ave,Houma,LA,70363,29.578516,-90.697655,5.0,$150000.0,15 days on Zillow,https://www.zillow.com/homedetails/208-Hialeah-Ave-Houma-LA-70363/77757244_zpid/
