street_address,city,state,zipCode,latitude,longitude,beds,sale_price,listed_date,property_link
365 Endicott Dr,Soldotna,AK,99669,60.478603,-151.12769,,$0.0,36 days on Zillow,https://www.zillow.com/homedetails/365-Endicott-Dr-Soldotna-AK-99669/74517567_zpid/
3830 E 72nd Ave,Anchorage,AK,99507,61.155354,-149.81041,3.0,$0.0,28 days on Zillow,https://www.zillow.com/homedetails/3830-E-72nd-Ave-Anchorage-AK-99507/39897_zpid/
1807 Kalgin St,Anchorage,AK,99504,61.20415,-149.73555,4.0,$0.0,213 days on Zillow,https://www.zillow.com/homedetails/1807-Kalgin-St-Anchorage-AK-99504/13981_zpid/
2881 Linda Ave,Juneau,AK,99801,58.37489,-134.58774,3.0,$0.0,59 days on Zillow,https://www.zillow.com/homedetails/2881-Linda-Ave-Juneau-AK-99801/74509800_zpid/
203 N Lane St,Anchorage,AK,99508,61.225132,-149.79663,4.0,$0.0,51 days on Zillow,https://www.zillow.com/homedetails/203-N-Lane-St-Anchorage-AK-99508/8484_zpid/
3536 E 17th Ave,Anchorage,AK,99508,61.20516,-149.81487,4.0,$0.0,48 days on Zillow,https://www.zillow.com/homedetails/3536-E-17th-Ave-Anchorage-AK-99508/7561_zpid/
L-9 Feodosia Dr,Anchorage,AK,99516,61.06696,-149.79137,,$135000.0,146 days on Zillow,https://www.zillow.com/homedetails/L-9-Feodosia-Dr-Anchorage-AK-99516/2061331578_zpid/
1005 Family Circle Ct,Fairbanks,AK,99709,64.90404,-147.88808,2.0,$0.0,147 days on Zillow,https://www.zillow.com/homedetails/1005-Family-Circle-Ct-Fairbanks-AK-99709/90666237_zpid/
1331 Denali St,Anchorage,AK,99501,61.209366,-149.87686,2.0,$0.0,30 days on Zillow,https://www.zillow.com/homedetails/1331-Denali-St-Anchorage-AK-99501/2138461319_zpid/
7022 Tanaina Dr,Anchorage,AK,99502,61.157093,-149.9961,3.0,$0.0,114 days on Zillow,https://www.zillow.com/homedetails/7022-Tanaina-Dr-Anchorage-AK-99502/28122_zpid/
2514 Ellis St,Fairbanks,AK,99709,64.82334,-147.88133,,$0.0,71 days on Zillow,https://www.zillow.com/homedetails/2514-Ellis-St-Fairbanks-AK-99709/74482159_zpid/
252 Bunn St,Anchorage,AK,99508,61.221375,-149.79955,3.0,$0.0,51 days on Zillow,https://www.zillow.com/homedetails/252-Bunn-St-Anchorage-AK-99508/8619_zpid/
3457 W 80th Ave,Anchorage,AK,99502,61.148586,-149.94403,4.0,$0.0,280 days on Zillow,https://www.zillow.com/homedetails/3457-W-80th-Ave-Anchorage-AK-99502/33197_zpid/
1401 Rakof Ave,Anchorage,AK,99507,61.176136,-149.85492,3.0,$0.0,148 days on Zillow,https://www.zillow.com/homedetails/1401-Rakof-Ave-Anchorage-AK-99507/22824_zpid/
4637 Campus Cir,Anchorage,AK,99507,61.178295,-149.82068,3.0,$0.0,49 days on Zillow,https://www.zillow.com/homedetails/4637-Campus-Cir-Anchorage-AK-99507/21582_zpid/
4214 E 8th Ave,Anchorage,AK,99508,61.214676,-149.80264,3.0,$0.0,42 days on Zillow,https://www.zillow.com/homedetails/4214-E-8th-Ave-Anchorage-AK-99508/9087_zpid/
21407 Settlers Dr,Chugiak,AK,99567,61.41366,-149.42664,3.0,$0.0,84 days on Zillow,https://www.zillow.com/homedetails/21407-Settlers-Dr-Chugiak-AK-99567/60130_zpid/
8699 Duran St,Juneau,AK,99801,58.38959,-134.57121,6.0,$0.0,65 days on Zillow,https://www.zillow.com/homedetails/8699-Duran-St-Juneau-AK-99801/74511023_zpid/
3809 S Crozier Ln,Wasilla,AK,99623,61.54479,-149.89561,,$0.0,49 days on Zillow,https://www.zillow.com/homedetails/3809-S-Crozier-Ln-Wasilla-AK-99623/219462043_zpid/
46520 Jo Ave,Kenai,AK,99611,60.525967,-151.12482,2.0,$0.0,247 days on Zillow,https://www.zillow.com/homedetails/46520-Jo-Ave-Kenai-AK-99611/90678264_zpid/
3941 N Snow Goose Dr,Wasilla,AK,99654,61.61937,-149.43341,3.0,$0.0,93 days on Zillow,https://www.zillow.com/homedetails/3941-N-Snow-Goose-Dr-Wasilla-AK-99654/74522321_zpid/
560 Steele Creek Rd,Fairbanks,AK,99712,64.90244,-147.59497,3.0,$0.0,383 days on Zillow,https://www.zillow.com/homedetails/560-Steele-Creek-Rd-Fairbanks-AK-99712/219809444_zpid/
1125 Meadow Rue Ave #1119,North Pole,AK,99705,64.81718,-147.40279,,$0.0,72 days on Zillow,https://www.zillow.com/homedetails/1125-Meadow-Rue-Ave-1119-North-Pole-AK-99705/2060437474_zpid/
3686 Anton Ave,North Pole,AK,99705,64.73532,-147.26692,3.0,$0.0,155 days on Zillow,https://www.zillow.com/homedetails/3686-Anton-Ave-North-Pole-AK-99705/74484382_zpid/
428 N Pine St,Anchorage,AK,99508,61.227345,-149.79395,3.0,$0.0,80 days on Zillow,https://www.zillow.com/homedetails/428-N-Pine-St-Anchorage-AK-99508/8490_zpid/
350 Irwin St APT 204,Juneau,AK,99801,58.304817,-134.41985,1.0,$0.0,78 days on Zillow,https://www.zillow.com/homedetails/350-Irwin-St-APT-204-Juneau-AK-99801/2067533479_zpid/
L1-B3 McLaren Ct,Fairbanks,AK,99712,64.894394,-147.59344,,$60000.0,33 days on Zillow,https://www.zillow.com/homedetails/L1-B3-McLaren-Ct-Fairbanks-AK-99712/2059985224_zpid/
Nhn Second St,Larsen Bay,AK,99624,,,,$0.0,91 days on Zillow,https://www.zillow.com/homedetails/Nhn-Second-St-Larsen-Bay-AK-99624/2060648541_zpid/
6654 Gateway Dr,Wasilla,AK,99654,,,4.0,$750000.0,17 days on Zillow,https://www.zillow.com/homedetails/6654-Gateway-Dr-Wasilla-AK-99654/2059519389_zpid/
1210 Amanita Rd,Fairbanks,AK,99712,64.91368,-147.43758,3.0,$0.0,163 days on Zillow,https://www.zillow.com/homedetails/1210-Amanita-Rd-Fairbanks-AK-99712/219811385_zpid/
LOT 12 Truck St,Fairbanks,AK,99709,64.81621,-147.7903,,$109900.0,21 days on Zillow,https://www.zillow.com/homedetails/LOT-12-Truck-St-Fairbanks-AK-99709/2059748352_zpid/
1806 Bellevue Loop,Anchorage,AK,99515,61.112335,-149.91345,2.0,$0.0,273 days on Zillow,https://www.zillow.com/homedetails/1806-Bellevue-Loop-Anchorage-AK-99515/53373_zpid/
3830 Crosson Cir,Anchorage,AK,99517,61.186165,-149.94237,2.0,$0.0,259 days on Zillow,https://www.zillow.com/homedetails/3830-Crosson-Cir-Anchorage-AK-99517/25750_zpid/
Tl 2512 Richardson Hwy,Salcha,AK,99714,64.4872,-146.8812,,$47500.0,305 days on Zillow,https://www.zillow.com/homedetails/Tl-2512-Richardson-Hwy-Salcha-AK-99714/2064093179_zpid/
1010 Deere St,Fairbanks,AK,99709,64.85502,-147.78055,,$124500.0,1264 days on Zillow,https://www.zillow.com/homedetails/1010-Deere-St-Fairbanks-AK-99709/251144335_zpid/
LOT-16A Keel Ct LOT 16A,Fairbanks,AK,99709,64.822586,-147.91652,,$16000.0,1055 days on Zillow,https://www.zillow.com/homedetails/LOT-16A-Keel-Ct-LOT-16A-Fairbanks-AK-99709/2080222363_zpid/
545 565 585 Chena River Access,Fairbanks,AK,99712,64.8378,-147.7164,,$125000.0,2135 days on Zillow,https://www.zillow.com/homedetails/545-565-585-Chena-River-Access-Fairbanks-AK-99712/2114916431_zpid/
2220 S Lodge Dr,Big Lake,AK,99623,61.558468,-149.8122,,$35000.0,"$5,000 (Jan 15)",https://www.zillow.com/homedetails/2220-S-Lodge-Dr-Big-Lake-AK-99623/2060786814_zpid/
LOT-13A Horned Owl Ln LOT 13A,Fairbanks,AK,99709,,,,$16000.0,1055 days on Zillow,https://www.zillow.com/homedetails/LOT-13A-Horned-Owl-Ln-LOT-13A-Fairbanks-AK-99709/2080222373_zpid/
LOT 2 Edby Rd LOT 2,Fairbanks,AK,99709,64.792496,-147.96321,,$88900.0,358 days on Zillow,https://www.zillow.com/homedetails/LOT-2-Edby-Rd-LOT-2-Fairbanks-AK-99709/2065748121_zpid/
LOT-12A Horned Owl Ln LOT 12A,Fairbanks,AK,99709,,,,$16000.0,1055 days on Zillow,https://www.zillow.com/homedetails/LOT-12A-Horned-Owl-Ln-LOT-12A-Fairbanks-AK-99709/2080222379_zpid/
LOT 34 Sipes Dr LOT 34,Salcha,AK,99714,,,,$14500.0,762 days on Zillow,https://www.zillow.com/homedetails/LOT-34-Sipes-Dr-LOT-34-Salcha-AK-99714/2075640729_zpid/
LOT 1A Snow Goose Ln LOT 1A,Fairbanks,AK,99709,,,,$16000.0,1055 days on Zillow,https://www.zillow.com/homedetails/LOT-1A-Snow-Goose-Ln-LOT-1A-Fairbanks-AK-99709/2080222370_zpid/
49390 S Noahs Cir,Willow,AK,99688,,,,$34500.0,284 days on Zillow,https://www.zillow.com/homedetails/49390-S-Noahs-Cir-Willow-AK-99688/2063282113_zpid/
Nhn Kateel Dr,Fairbanks,AK,99701,,,,$27000.0,287 days on Zillow,https://www.zillow.com/homedetails/Nhn-Kateel-Dr-Fairbanks-AK-99701/2063334218_zpid/
Nhn Bullion Dr,Fairbanks,AK,99712,65.595,-147.4458,,$32500.0,298 days on Zillow,https://www.zillow.com/homedetails/Nhn-Bullion-Dr-Fairbanks-AK-99712/2098789196_zpid/
LOT 35 Sipes Dr LOT 35,Salcha,AK,99714,,,,$14500.0,762 days on Zillow,https://www.zillow.com/homedetails/LOT-35-Sipes-Dr-LOT-35-Salcha-AK-99714/2075640723_zpid/
LOT 20 Sipes Dr LOT 20,Salcha,AK,99714,,,,$25000.0,762 days on Zillow,https://www.zillow.com/homedetails/LOT-20-Sipes-Dr-LOT-20-Salcha-AK-99714/2075640725_zpid/
4485 Condor Ct,Fairbanks,AK,99709,64.8433,-147.85033,,$375000.0,1191 days on Zillow,https://www.zillow.com/homedetails/4485-Condor-Ct-Fairbanks-AK-99709/304119598_zpid/
LOT Two Chena Hot Springs Rd #D,Fairbanks,AK,99712,,,,$19900.0,1055 days on Zillow,https://www.zillow.com/homedetails/LOT-Two-Chena-Hot-Springs-Rd-D-Fairbanks-AK-99712/2080222353_zpid/
LOT Old Chena Hot Springs Rd #D,Fairbanks,AK,99712,64.88739,-147.62,,$19900.0,852 days on Zillow,https://www.zillow.com/homedetails/LOT-Old-Chena-Hot-Springs-Rd-D-Fairbanks-AK-99712/2077395805_zpid/
LOT Six Chena Hot Springs Rd #D,Fairbanks,AK,99712,,,,$19900.0,1055 days on Zillow,https://www.zillow.com/homedetails/LOT-Six-Chena-Hot-Springs-Rd-D-Fairbanks-AK-99712/2080222381_zpid/
5 Blackberry Dr,Fairbanks,AK,99712,64.91578,-147.65569,,$19500.0,456 days on Zillow,https://www.zillow.com/homedetails/5-Blackberry-Dr-Fairbanks-AK-99712/2071284032_zpid/
LOT 4A Snow Goose Ln,Fairbanks,AK,99709,,,,$16000.0,433 days on Zillow,https://www.zillow.com/homedetails/LOT-4A-Snow-Goose-Ln-Fairbanks-AK-99709/2067101343_zpid/
LOT 32 Sipes Dr LOT 32,Salcha,AK,99714,,,,$25000.0,742 days on Zillow,https://www.zillow.com/homedetails/LOT-32-Sipes-Dr-LOT-32-Salcha-AK-99714/2074480904_zpid/
LOT 19 Sipes Dr LOT 19,Salcha,AK,99714,,,,$25000.0,762 days on Zillow,https://www.zillow.com/homedetails/LOT-19-Sipes-Dr-LOT-19-Salcha-AK-99714/2075640721_zpid/
LOT 21 Sipes Dr LOT 21,Salcha,AK,99714,,,,$25000.0,762 days on Zillow,https://www.zillow.com/homedetails/LOT-21-Sipes-Dr-LOT-21-Salcha-AK-99714/2075640724_zpid/
LOT 14 Misty Fjords Ct LOT 14,Fairbanks,AK,99712,64.891975,-147.378,,$50000.0,259 days on Zillow,https://www.zillow.com/homedetails/LOT-14-Misty-Fjords-Ct-LOT-14-Fairbanks-AK-99712/2062945292_zpid/
L3-B2 Polkadot,Fairbanks,AK,99712,64.92752,-147.59296,,$26000.0,252 days on Zillow,https://www.zillow.com/homedetails/L3-B2-Polkadot-Fairbanks-AK-99712/2062762845_zpid/
LOT 5 Snowy Owl Ln LOT 5,Fairbanks,AK,99712,64.9088,-147.64357,,$38500.0,455 days on Zillow,https://www.zillow.com/homedetails/LOT-5-Snowy-Owl-Ln-LOT-5-Fairbanks-AK-99712/2067459662_zpid/
L4-B2 Polkadot,Fairbanks,AK,99712,64.92752,-147.59296,,$26000.0,252 days on Zillow,https://www.zillow.com/homedetails/L4-B2-Polkadot-Fairbanks-AK-99712/2062762840_zpid/
L2-B2 Polkadot,Fairbanks,AK,99712,64.92752,-147.59296,,$23500.0,252 days on Zillow,https://www.zillow.com/homedetails/L2-B2-Polkadot-Fairbanks-AK-99712/2062762844_zpid/
L1 Great View Ln,Fairbanks,AK,99712,64.921555,-147.54572,,$38500.0,753 days on Zillow,https://www.zillow.com/homedetails/L1-Great-View-Ln-Fairbanks-AK-99712/2075384974_zpid/
8 Joyce Jean Dr,Fairbanks,AK,99712,64.87633,-146.89546,,$28500.0,712 days on Zillow,https://www.zillow.com/homedetails/8-Joyce-Jean-Dr-Fairbanks-AK-99712/2079536800_zpid/
Por Usms 1699 Beistline Ln,Fairbanks,AK,99712,64.9414,-147.4731,,$150000.0,293 days on Zillow,https://www.zillow.com/homedetails/Por-Usms-1699-Beistline-Ln-Fairbanks-AK-99712/2063415876_zpid/
LOT 3 Chena River Access LOT 3,North Pole,AK,99705,,,,$25000.0,826 days on Zillow,https://www.zillow.com/homedetails/LOT-3-Chena-River-Access-LOT-3-North-Pole-AK-99705/2077128288_zpid/
LOT 13 Misty Fjords Ct LOT 13,Fairbanks,AK,99712,64.891975,-147.378,,$50000.0,259 days on Zillow,https://www.zillow.com/homedetails/LOT-13-Misty-Fjords-Ct-LOT-13-Fairbanks-AK-99712/2062945294_zpid/
309 Bullion Dr,Fairbanks,AK,99712,64.931114,-147.62059,,$38500.0,298 days on Zillow,https://www.zillow.com/homedetails/309-Bullion-Dr-Fairbanks-AK-99712/219808373_zpid/
L5-B2 Polkadot,Fairbanks,AK,99712,64.92752,-147.59296,,$24000.0,252 days on Zillow,https://www.zillow.com/homedetails/L5-B2-Polkadot-Fairbanks-AK-99712/2062762843_zpid/
LOT 10 Moominvalley Ct LOT 10,Fairbanks,AK,99709,64.81798,-147.96365,,$33500.0,1055 days on Zillow,https://www.zillow.com/homedetails/LOT-10-Moominvalley-Ct-LOT-10-Fairbanks-AK-99709/2080222365_zpid/
7 Joyce Jean Dr,Fairbanks,AK,99712,64.87633,-146.89546,,$28500.0,712 days on Zillow,https://www.zillow.com/homedetails/7-Joyce-Jean-Dr-Fairbanks-AK-99712/2072718409_zpid/
9 Joyce Jean Dr,Fairbanks,AK,99712,64.87633,-146.89546,,$28500.0,712 days on Zillow,https://www.zillow.com/homedetails/9-Joyce-Jean-Dr-Fairbanks-AK-99712/2079536801_zpid/
4 Joyce Jean Dr,Fairbanks,AK,99712,64.87633,-146.89546,,$28500.0,712 days on Zillow,https://www.zillow.com/homedetails/4-Joyce-Jean-Dr-Fairbanks-AK-99712/2072719818_zpid/
Nhn Moosewood Cir LOT 10,Fairbanks,AK,99712,64.89061,-147.55348,,$27900.0,311 days on Zillow,https://www.zillow.com/homedetails/Nhn-Moosewood-Cir-LOT-10-Fairbanks-AK-99712/2064166409_zpid/
325 Bullion Dr,Fairbanks,AK,99712,64.93048,-147.6182,,$40000.0,298 days on Zillow,https://www.zillow.com/homedetails/325-Bullion-Dr-Fairbanks-AK-99712/251178347_zpid/
